zone_id,structural_zone_key,ticker,valid_from,valid_to,zone_class,side,lower,upper,center,timeframe,source_reason,confluence_count,metadata
AMZN::20250724::support::3,"AMZN::support::223.6850::10.8900::avwap_D,vp_D,vp_W::D,W",AMZN,2025-07-24,2025-07-30 23:59:59.999999,composite,support,218.2403160317739,229.1301344422721,223.685225237023,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 99.90026154529295, 'structural_score': 95.12692821195961, 'touch_count': 6, 'reaction_score': 2.386666666666667, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250731::resistance::1,AMZN::resistance::231.8900::2.3200::avwap_D::D,AMZN,2025-07-31,2025-08-06 23:59:59.999999,cost,resistance,230.7285525211752,233.04743244601113,231.88799248359317,D,avwap_D,1,"{'institutional_score': 158.4595894132301, 'structural_score': 158.4595894132301, 'touch_count': 0, 'reaction_score': 0.0, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
AMZN::20250731::support::2,AMZN::support::205.8000::5.2375::vp_W::W,AMZN,2025-07-31,2025-08-06 23:59:59.999999,inventory,support,203.17934881210326,208.4164941851298,205.79792149861652,W,vp_W,1,"{'institutional_score': 28.591906996190342, 'structural_score': 21.99190699619034, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'VP (W, 1d higher-timeframe composite)', 'source_types': ['vp_W'], 'timeframes': ['W']}"
AMZN::20250731::support::3,"AMZN::support::214.2500::9.4925::avwap_D,vp_W::D,W",AMZN,2025-07-31,2025-08-06 23:59:59.999999,composite,support,209.5058894666036,218.99759475420123,214.2517421104024,"D,W","avwap_D,vp_W",2,"{'institutional_score': 44.15186059287418, 'structural_score': 37.79186059287418, 'touch_count': 8, 'reaction_score': 3.1800000000000006, 'source_label': 'avwap_D, vp_W', 'source_types': ['avwap_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250731::support::4,"AMZN::support::226.8600::12.5625::avwap_D,vp_D,vp_W::D,W",AMZN,2025-07-31,2025-08-06 23:59:59.999999,composite,support,220.57733561197918,233.14042009512582,226.85887785355249,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 131.14967677259781, 'structural_score': 124.30967677259781, 'touch_count': 6, 'reaction_score': 3.4200000000000004, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250807::resistance::1,AMZN::resistance::227.6350::11.6925::vp_D::D,AMZN,2025-08-07,2025-08-13 23:59:59.999999,inventory,resistance,221.79056408087413,233.48318304538728,227.6368735631307,D,vp_D,1,"{'institutional_score': 75.12408694573685, 'structural_score': 68.76408694573685, 'touch_count': 8, 'reaction_score': 3.1800000000000006, 'source_label': 'VP (D, 1h composite)', 'source_types': ['vp_D'], 'timeframes': ['D']}"
AMZN::20250807::support::2,"AMZN::support::217.9950::13.4625::avwap_D,vp_D,vp_W::D,W",AMZN,2025-08-07,2025-08-13 23:59:59.999999,composite,support,211.26502417882284,224.72664706548053,217.99583562215167,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 114.42904146733004, 'structural_score': 108.78904146733004, 'touch_count': 11, 'reaction_score': 2.8200000000000003, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250814::resistance::1,AMZN::resistance::227.9000::2.8025::vp_D::D,AMZN,2025-08-14,2025-08-20 23:59:59.999999,inventory,resistance,226.49738138278326,229.2994907561938,227.89843606948853,D,vp_D,1,"{'institutional_score': 112.42818201320648, 'structural_score': 106.00818201320648, 'touch_count': 4, 'reaction_score': 3.21, 'source_label': 'VP (D, 1h composite)', 'source_types': ['vp_D'], 'timeframes': ['D']}"
AMZN::20250814::resistance::2,AMZN::resistance::231.8200::3.3650::vp_D::D,AMZN,2025-08-14,2025-08-20 23:59:59.999999,inventory,resistance,230.13963928381602,233.5041080458959,231.82187366485596,D,vp_D,1,"{'institutional_score': 57.19201952517497, 'structural_score': 49.392019525174966, 'touch_count': 2, 'reaction_score': 3.9000000000000004, 'source_label': 'VP (D, 1h composite)', 'source_types': ['vp_D'], 'timeframes': ['D']}"
AMZN::20250814::support::3,"AMZN::support::218.4100::15.2450::avwap_D,vp_D,vp_W::D,W",AMZN,2025-08-14,2025-08-20 23:59:59.999999,composite,support,210.7885693693161,226.03371378421784,218.41114157676697,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 91.6457353624153, 'structural_score': 86.72573536241529, 'touch_count': 14, 'reaction_score': 2.4600000000000004, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250821::resistance::1,AMZN::resistance::225.1900::2.2525::avwap_D::D,AMZN,2025-08-21,2025-08-27 23:59:59.999999,cost,resistance,224.06392726228978,226.31582602874494,225.18987664551736,D,avwap_D,1,"{'institutional_score': 164.69801502539016, 'structural_score': 158.45801502539015, 'touch_count': 6, 'reaction_score': 3.1200000000000006, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
AMZN::20250821::resistance::2,AMZN::resistance::231.5600::4.9300::vp_D::D,AMZN,2025-08-21,2025-08-27 23:59:59.999999,inventory,resistance,229.09469707091648,234.02592524607977,231.5603111584981,D,vp_D,1,"{'institutional_score': 55.16640070743923, 'structural_score': 47.60640070743923, 'touch_count': 3, 'reaction_score': 3.7800000000000002, 'source_label': 'VP (D, 1h composite)', 'source_types': ['vp_D'], 'timeframes': ['D']}"
AMZN::20250821::support::3,"AMZN::support::218.1950::13.4650::avwap_D,vp_D,vp_W::D,W",AMZN,2025-08-21,2025-08-27 23:59:59.999999,composite,support,211.46193822860718,224.92721938451132,218.19457880655926,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 92.91447746914702, 'structural_score': 89.90876318343273, 'touch_count': 14, 'reaction_score': 1.5028571428571431, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
